"No.","Time","Source","Destination","Protocol","Length","Info"
"14","0.046178776","100.94.78.223","52.85.132.73","TLSv1.3","544","Application Data"
"15","0.056713305","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=5975 Ack=2392 Win=72192 Len=0 TSval=953959484 TSecr=2375053922"
"16","0.056713456","52.85.132.73","100.94.78.223","TLSv1.3","212","Application Data"
"17","0.056794512","52.85.132.73","100.94.78.223","TLSv1.3","137","Application Data"
"18","0.056819438","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2392 Ack=6192 Win=31872 Len=0 TSval=2375053933 TSecr=953959484"
"19","0.056894813","100.94.78.223","52.85.132.73","TLSv1.3","97","Application Data"
"20","0.108962080","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=6192 Ack=2423 Win=72192 Len=0 TSval=953959537 TSecr=2375053933"
"21","0.317635407","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=6192 Ack=2423 Win=72192 Len=2856 TSval=953959745 TSecr=2375053933 [TCP segment of a reassembled PDU]"
"22","0.317635535","52.85.132.73","100.94.78.223","TCP","5778","[TCP Previous segment not captured] 443  >  47546 [PSH, ACK] Seq=10476 Ack=2423 Win=72192 Len=5712 TSval=953959745 TSecr=2375053933 [TCP segment of a reassembled PDU]"
"23","0.317682977","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=9048 Win=31872 Len=0 TSval=2375054194 TSecr=953959745"
"24","0.317691392","100.94.78.223","52.85.132.73","TCP","78","[TCP Dup ACK 23#1] 47546  >  443 [ACK] Seq=2423 Ack=9048 Win=31872 Len=0 TSval=2375054194 TSecr=953959745 SLE=10476 SRE=16188"
"25","0.318082227","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [PSH, ACK] Seq=16188 Ack=2423 Win=72192 Len=9996 TSval=953959746 TSecr=2375053933 [TCP segment of a reassembled PDU]"
"26","0.318095261","100.94.78.223","52.85.132.73","TCP","78","[TCP Dup ACK 23#2] 47546  >  443 [ACK] Seq=2423 Ack=9048 Win=31872 Len=0 TSval=2375054194 TSecr=953959745 SLE=10476 SRE=26184"
"27","0.318941234","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [PSH, ACK] Seq=26184 Ack=2423 Win=72192 Len=9996 TSval=953959746 TSecr=2375053933 [TCP segment of a reassembled PDU]"
"28","0.318949586","100.94.78.223","52.85.132.73","TCP","78","[TCP Dup ACK 23#3] 47546  >  443 [ACK] Seq=2423 Ack=9048 Win=31872 Len=0 TSval=2375054195 TSecr=953959745 SLE=10476 SRE=36180"
"29","0.319735767","52.85.132.73","100.94.78.223","TCP","1950","443  >  47546 [PSH, ACK] Seq=36180 Ack=2423 Win=72192 Len=1884 TSval=953959747 TSecr=2375053933 [TCP segment of a reassembled PDU]"
"30","0.319854464","100.94.78.223","52.85.132.73","TCP","78","[TCP Dup ACK 23#4] 47546  >  443 [ACK] Seq=2423 Ack=9048 Win=31872 Len=0 TSval=2375054196 TSecr=953959745 SLE=10476 SRE=38064"
"31","0.326710950","52.85.132.73","100.94.78.223","TLSv1.3","2922","[TCP Window Full] , Application Data"
"32","0.326856444","52.85.132.73","100.94.78.223","TLSv1.3","1494","[TCP Fast Retransmission] , Application Data"
"33","0.326880822","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=40920 Win=31872 Len=0 TSval=2375054203 TSecr=953959754"
"34","0.335945475","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [PSH, ACK] Seq=40920 Ack=2423 Win=72192 Len=9996 TSval=953959763 TSecr=2375054203 [TCP segment of a reassembled PDU]"
"35","0.335988247","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=50916 Win=51840 Len=0 TSval=2375054212 TSecr=953959763"
"36","0.336260495","52.85.132.73","100.94.78.223","TCP","1038","443  >  47546 [ACK] Seq=50916 Ack=2423 Win=72192 Len=972 TSval=953959764 TSecr=2375054203 [TCP segment of a reassembled PDU]"
"37","0.336426325","52.85.132.73","100.94.78.223","TLSv1.3","10062","Application Data"
"38","0.336435689","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=61884 Win=74752 Len=0 TSval=2375054213 TSecr=953959764"
"39","0.337297161","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=61884 Ack=2423 Win=72192 Len=2856 TSval=953959765 TSecr=2375054203 [TCP segment of a reassembled PDU]"
"40","0.337297248","52.85.132.73","100.94.78.223","TCP","1494","[TCP Previous segment not captured] 443  >  47546 [PSH, ACK] Seq=66168 Ack=2423 Win=72192 Len=1428 TSval=953959765 TSecr=2375054203 [TCP segment of a reassembled PDU]"
"41","0.337311955","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=64740 Win=80512 Len=0 TSval=2375054213 TSecr=953959765"
"42","0.337316210","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=83328 Len=0 TSval=2375054213 TSecr=953959765 SLE=66168 SRE=67596"
"43","0.337757417","52.85.132.73","100.94.78.223","TCP","5262","443  >  47546 [PSH, ACK] Seq=67596 Ack=2423 Win=72192 Len=5196 TSval=953959765 TSecr=2375054203 [TCP segment of a reassembled PDU]"
"44","0.337766981","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=93824 Len=0 TSval=2375054214 TSecr=953959765 SLE=66168 SRE=72792"
"45","0.345192773","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [PSH, ACK] Seq=72792 Ack=2423 Win=72192 Len=9996 TSval=953959773 TSecr=2375054212 [TCP segment of a reassembled PDU]"
"46","0.345229739","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=113792 Len=0 TSval=2375054221 TSecr=953959765 SLE=66168 SRE=82788"
"47","0.345429446","52.85.132.73","100.94.78.223","TCP","582","443  >  47546 [ACK] Seq=82788 Ack=2423 Win=72192 Len=516 TSval=953959773 TSecr=2375054212 [TCP segment of a reassembled PDU]"
"48","0.345596566","52.85.132.73","100.94.78.223","TLSv1.3","10062","Application Data"
"49","0.345993060","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=136704 Len=0 TSval=2375054222 TSecr=953959765 SLE=66168 SRE=93300"
"50","0.346419395","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=93300 Ack=2423 Win=72192 Len=2856 TSval=953959774 TSecr=2375054212 [TCP segment of a reassembled PDU]"
"51","0.346494317","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [PSH, ACK] Seq=96156 Ack=2423 Win=72192 Len=2856 TSval=953959774 TSecr=2375054212 [TCP segment of a reassembled PDU]"
"52","0.346999138","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=148096 Len=0 TSval=2375054223 TSecr=953959765 SLE=66168 SRE=99012"
"53","0.347026798","52.85.132.73","100.94.78.223","TLSv1.3","10062","Application Data, Application Data"
"54","0.347599803","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=168064 Len=0 TSval=2375054223 TSecr=953959765 SLE=66168 SRE=109008"
"55","0.347852501","52.85.132.73","100.94.78.223","TCP","5778","443  >  47546 [PSH, ACK] Seq=109008 Ack=2423 Win=72192 Len=5712 TSval=953959775 TSecr=2375054213 [TCP segment of a reassembled PDU]"
"56","0.348368007","52.85.132.73","100.94.78.223","TLSv1.3","10062","Application Data"
"57","0.348420103","100.94.78.223","52.85.132.73","TCP","78","[TCP Dup ACK 41#1] 47546  >  443 [ACK] Seq=2423 Ack=64740 Win=168064 Len=0 TSval=2375054224 TSecr=953959765 SLE=66168 SRE=124716"
"58","0.349229149","52.85.132.73","100.94.78.223","TCP","1494","[TCP Out-Of-Order] 443  >  47546 [ACK] Seq=64740 Ack=2423 Win=72192 Len=1428 TSval=953959777 TSecr=2375054214"
"59","0.349245495","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=124716 Win=162560 Len=0 TSval=2375054225 TSecr=953959777"
"60","0.349315661","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=124716 Ack=2423 Win=72192 Len=2856 TSval=953959777 TSecr=2375054214 [TCP segment of a reassembled PDU]"
"61","0.349390371","52.85.132.73","100.94.78.223","TCP","1494","443  >  47546 [PSH, ACK] Seq=127572 Ack=2423 Win=72192 Len=1428 TSval=953959777 TSecr=2375054214 [TCP segment of a reassembled PDU]"
"62","0.349444579","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=129000 Win=160256 Len=0 TSval=2375054226 TSecr=953959777"
"63","0.354287528","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [PSH, ACK] Seq=129000 Ack=2423 Win=72192 Len=9996 TSval=953959782 TSecr=2375054221 [TCP segment of a reassembled PDU]"
"64","0.354324784","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=138996 Win=189312 Len=0 TSval=2375054230 TSecr=953959782"
"65","0.355048477","52.85.132.73","100.94.78.223","TLSv1.3","7206","Application Data"
"66","0.355459978","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=146136 Win=189312 Len=0 TSval=2375054232 TSecr=953959783"
"67","0.355579126","52.85.132.73","100.94.78.223","TCP","4350","443  >  47546 [PSH, ACK] Seq=146136 Ack=2423 Win=72192 Len=4284 TSval=953959783 TSecr=2375054222 [TCP segment of a reassembled PDU]"
"68","0.355587419","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=150420 Win=194688 Len=0 TSval=2375054232 TSecr=953959783"
"69","0.355990841","52.85.132.73","100.94.78.223","TCP","5778","443  >  47546 [PSH, ACK] Seq=150420 Ack=2423 Win=72192 Len=5712 TSval=953959784 TSecr=2375054223 [TCP segment of a reassembled PDU]"
"70","0.356173961","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=156132 Win=194688 Len=0 TSval=2375054232 TSecr=953959784"
"71","0.356661598","52.85.132.73","100.94.78.223","TLSv1.3","5778","Application Data"
"72","0.356821748","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=161844 Ack=2423 Win=72192 Len=2856 TSval=953959784 TSecr=2375054223 [TCP segment of a reassembled PDU]"
"73","0.356838873","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=164700 Win=194688 Len=0 TSval=2375054233 TSecr=953959784"
"74","0.356869609","52.85.132.73","100.94.78.223","TCP","1494","443  >  47546 [PSH, ACK] Seq=164700 Ack=2423 Win=72192 Len=1428 TSval=953959784 TSecr=2375054223 [TCP segment of a reassembled PDU]"
"75","0.357487639","52.85.132.73","100.94.78.223","TLSv1.3","11490","Application Data"
"76","0.357724198","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=177552 Win=196224 Len=0 TSval=2375054234 TSecr=953959784"
"77","0.357940587","52.85.132.73","100.94.78.223","TCP","4350","443  >  47546 [PSH, ACK] Seq=177552 Ack=2423 Win=72192 Len=4284 TSval=953959785 TSecr=2375054224 [TCP segment of a reassembled PDU]"
"78","0.358323906","52.85.132.73","100.94.78.223","TLSv1.3","11490","Application Data"
"79","0.358629814","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=193260 Win=196224 Len=0 TSval=2375054235 TSecr=953959785"
"80","0.359087368","52.85.132.73","100.94.78.223","TLSv1.3","14346","Application Data"
"81","0.359161064","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2423 Ack=207540 Win=196224 Len=0 TSval=2375054235 TSecr=953959786"
"82","0.359971756","52.85.132.73","100.94.78.223","TCP","1494","443  >  47546 [ACK] Seq=207540 Ack=2423 Win=72192 Len=1428 TSval=953959787 TSecr=2375054226 [TCP segment of a reassembled PDU]"
"83","0.361315340","100.94.78.223","52.85.132.73","TLSv1.3","343","Application Data"
"84","0.363336441","52.85.132.73","100.94.78.223","TLSv1.3","8100","Application Data, Application Data, Application Data"
"85","0.363363093","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=217002 Win=215296 Len=0 TSval=2375054239 TSecr=953959791"
"86","0.370327179","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=217002 Ack=2700 Win=75264 Len=0 TSval=953959798 TSecr=2375054237"
"87","0.374327681","52.85.132.73","100.94.78.223","TLSv1.3","16472","Application Data"
"88","0.374345975","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=233408 Win=248064 Len=0 TSval=2375054250 TSecr=953959802"
"89","0.374685489","52.85.132.73","100.94.78.223","TLSv1.3","16472","Application Data"
"90","0.374700328","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=249814 Win=280832 Len=0 TSval=2375054251 TSecr=953959802"
"91","0.375446866","52.85.132.73","100.94.78.223","TLSv1.3","22914","Application Data"
"92","0.375509752","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=272662 Win=326528 Len=0 TSval=2375054252 TSecr=953959803"
"93","0.376314282","52.85.132.73","100.94.78.223","TLSv1.3","22914","Application Data, Application Data"
"94","0.376342589","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=295510 Win=372224 Len=0 TSval=2375054252 TSecr=953959804"
"95","0.377027899","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=295510 Ack=2700 Win=75264 Len=2856 TSval=953959805 TSecr=2375054239 [TCP segment of a reassembled PDU]"
"96","0.377042034","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=298366 Win=377984 Len=0 TSval=2375054253 TSecr=953959805"
"97","0.377240740","52.85.132.73","100.94.78.223","TLSv1.3","20058","Application Data"
"98","0.377253854","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=318358 Win=417920 Len=0 TSval=2375054253 TSecr=953959805"
"99","0.378192832","52.85.132.73","100.94.78.223","TLSv1.3","22297","Application Data, Application Data, Application Data"
"100","0.378246705","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2700 Ack=340589 Win=462464 Len=0 TSval=2375054254 TSecr=953959805"
"101","0.627230280","100.94.78.223","52.85.132.73","TLSv1.3","179","Application Data"
"102","0.676940746","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=340589 Ack=2813 Win=75264 Len=0 TSval=953960105 TSecr=2375054503"
"103","0.785754442","100.94.78.223","52.85.132.73","TLSv1.3","191","Application Data"
"104","0.794738580","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=340589 Ack=2938 Win=75264 Len=0 TSval=953960222 TSecr=2375054662"
"105","0.798422717","52.85.132.73","100.94.78.223","TLSv1.3","560","Application Data"
"106","0.798422766","52.85.132.73","100.94.78.223","TLSv1.3","97","Application Data"
"107","0.798469664","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=2938 Ack=341114 Win=465280 Len=0 TSval=2375054675 TSecr=953960226"
"108","0.820376692","100.94.78.223","52.85.132.73","TLSv1.3","140","Application Data"
"109","0.832637270","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [ACK] Seq=341114 Ack=3012 Win=75264 Len=2856 TSval=953960260 TSecr=2375054696 [TCP segment of a reassembled PDU]"
"110","0.832735203","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=3012 Ack=343970 Win=471040 Len=0 TSval=2375054709 TSecr=953960260"
"111","0.832767005","52.85.132.73","100.94.78.223","TCP","10062","443  >  47546 [ACK] Seq=343970 Ack=3012 Win=75264 Len=9996 TSval=953960260 TSecr=2375054696 [TCP segment of a reassembled PDU]"
"112","0.832767025","52.85.132.73","100.94.78.223","TCP","2192","[TCP Previous segment not captured] 443  >  47546 [PSH, ACK] Seq=355394 Ack=3012 Win=75264 Len=2126 TSval=953960260 TSecr=2375054696 [TCP segment of a reassembled PDU]"
"113","0.832777597","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=3012 Ack=353966 Win=491008 Len=0 TSval=2375054709 TSecr=953960260"
"114","0.832781723","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=495232 Len=0 TSval=2375054709 TSecr=953960260 SLE=355394 SRE=357520"
"115","0.833074097","52.85.132.73","100.94.78.223","TLSv1.3","16472","Application Data"
"116","0.833083276","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=528128 Len=0 TSval=2375054709 TSecr=953960260 SLE=355394 SRE=373926"
"117","0.833893563","52.85.132.73","100.94.78.223","TLSv1.3","24342","Application Data"
"118","0.833906970","100.94.78.223","52.85.132.73","TCP","78","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=576640 Len=0 TSval=2375054710 TSecr=953960260 SLE=355394 SRE=398202"
"119","0.834676874","52.85.132.73","100.94.78.223","TCP","25770","[TCP Previous segment not captured] 443  >  47546 [PSH, ACK] Seq=399630 Ack=3012 Win=75264 Len=25704 TSval=953960262 TSecr=2375054696 [TCP segment of a reassembled PDU], Application Data"
"120","0.835283969","100.94.78.223","52.85.132.73","TCP","86","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=628096 Len=0 TSval=2375054711 TSecr=953960260 SLE=399630 SRE=425334 SLE=355394 SRE=398202"
"121","0.835621515","52.85.132.73","100.94.78.223","TLSv1.3","25770","Application Data"
"122","0.836237908","100.94.78.223","52.85.132.73","TCP","86","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=679424 Len=0 TSval=2375054712 TSecr=953960260 SLE=399630 SRE=451038 SLE=355394 SRE=398202"
"123","0.836512419","52.85.132.73","100.94.78.223","TLSv1.3","12918","Application Data"
"124","0.836525997","52.85.132.73","100.94.78.223","TCP","5778","[TCP Previous segment not captured] 443  >  47546 [ACK] Seq=465318 Ack=3012 Win=75264 Len=5712 TSval=953960264 TSecr=2375054696 [TCP segment of a reassembled PDU]"
"125","0.836526018","52.85.132.73","100.94.78.223","TLSv1.3","4350","[TCP Previous segment not captured] , Continuation Data"
"126","0.836535329","100.94.78.223","52.85.132.73","TCP","86","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=705152 Len=0 TSval=2375054713 TSecr=953960260 SLE=399630 SRE=463890 SLE=355394 SRE=398202"
"127","0.837146804","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=725120 Len=0 TSval=2375054713 TSecr=953960260 SLE=472458 SRE=476742 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"128","0.837459713","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"129","0.838063053","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=776576 Len=0 TSval=2375054714 TSecr=953960260 SLE=472458 SRE=502446 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"130","0.838260200","52.85.132.73","100.94.78.223","TLSv1.3","12918","Continuation Data"
"131","0.838866737","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"132","0.838886326","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=802304 Len=0 TSval=2375054715 TSecr=953960260 SLE=472458 SRE=515298 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"133","0.839490090","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=853632 Len=0 TSval=2375054715 TSecr=953960260 SLE=472458 SRE=541002 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"134","0.839806652","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"135","0.840418504","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=905088 Len=0 TSval=2375054716 TSecr=953960260 SLE=472458 SRE=566706 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"136","0.840574828","52.85.132.73","100.94.78.223","TLSv1.3","1494","Continuation Data"
"137","0.840574855","52.85.132.73","100.94.78.223","TLSv1.3","10062","[TCP Previous segment not captured] , Continuation Data"
"138","0.840584234","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=907904 Len=0 TSval=2375054717 TSecr=953960260 SLE=472458 SRE=568134 SLE=465318 SRE=471030 SLE=399630 SRE=463890"
"139","0.841194149","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"140","0.841805767","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=979328 Len=0 TSval=2375054717 TSecr=953960260 SLE=569562 SRE=605262 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"141","0.842072618","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"142","0.842686286","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=1030784 Len=0 TSval=2375054718 TSecr=953960260 SLE=569562 SRE=630966 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"143","0.842830498","52.85.132.73","100.94.78.223","TLSv1.3","2922","Continuation Data"
"144","0.842948027","52.85.132.73","100.94.78.223","TLSv1.3","10062","Continuation Data"
"145","0.843438501","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=1056512 Len=0 TSval=2375054719 TSecr=953960260 SLE=569562 SRE=643818 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"146","0.843520079","52.85.132.73","100.94.78.223","TLSv1.3","25770","Continuation Data"
"147","0.844136801","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=353966 Win=1107840 Len=0 TSval=2375054720 TSecr=953960260 SLE=569562 SRE=669522 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"148","0.844262911","52.85.132.73","100.94.78.223","TCP","1494","[TCP Out-Of-Order] 443  >  47546 [ACK] Seq=353966 Ack=3012 Win=75264 Len=1428 TSval=953960272 TSecr=2375054709"
"149","0.844317071","100.94.78.223","52.85.132.73","TCP","94","47546  >  443 [ACK] Seq=3012 Ack=398202 Win=1110784 Len=0 TSval=2375054720 TSecr=953960272 SLE=569562 SRE=669522 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"150","0.844433238","52.85.132.73","100.94.78.223","TLSv1.3","4350","Continuation Data"
"151","0.844433259","52.85.132.73","100.94.78.223","TLSv1.3","10062","[TCP Previous segment not captured] , Continuation Data"
"152","0.844452189","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=398202 Win=1119360 Len=0 TSval=2375054721 TSecr=953960272 SLE=569562 SRE=673806 SLE=472458 SRE=568134 SLE=465318 SRE=471030"
"153","0.844503840","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=398202 Win=1139328 Len=0 TSval=2375054721 TSecr=953960272 SLE=675234 SRE=685230 SLE=569562 SRE=673806 SLE=472458 SRE=568134"
"154","0.845047409","52.85.132.73","100.94.78.223","TLSv1.3","21486","[TCP Previous segment not captured] , Continuation Data"
"155","0.845071874","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=398202 Win=1182208 Len=0 TSval=2375054721 TSecr=953960272 SLE=686658 SRE=708078 SLE=675234 SRE=685230 SLE=569562 SRE=673806"
"156","0.845751730","52.85.132.73","100.94.78.223","TCP","1494","[TCP Out-Of-Order] 443  >  47546 [ACK] Seq=398202 Ack=3012 Win=75264 Len=1428 TSval=953960273 TSecr=2375054711"
"157","0.845777055","100.94.78.223","52.85.132.73","TCP","94","47546  >  443 [ACK] Seq=3012 Ack=463890 Win=1185024 Len=0 TSval=2375054722 TSecr=953960273 SLE=686658 SRE=708078 SLE=675234 SRE=685230 SLE=569562 SRE=673806"
"158","0.846007598","52.85.132.73","100.94.78.223","TLSv1.3","10062","Continuation Data"
"159","0.846007788","52.85.132.73","100.94.78.223","TLSv1.3","14346","[TCP Previous segment not captured] , Continuation Data"
"160","0.846035364","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=463890 Win=1205120 Len=0 TSval=2375054722 TSecr=953960273 SLE=686658 SRE=718074 SLE=675234 SRE=685230 SLE=569562 SRE=673806"
"161","0.846040398","100.94.78.223","52.85.132.73","TCP","94","[TCP Window Update] 47546  >  443 [ACK] Seq=3012 Ack=463890 Win=1233664 Len=0 TSval=2375054722 TSecr=953960273 SLE=719502 SRE=733782 SLE=686658 SRE=718074 SLE=675234 SRE=685230"
